fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
3rkb1r/5pp1/p1n1pn2/1b1p3p/1PpP1P2/2P1PN2/6PP/R1B1KBNR b KQk - 1 13,250,0.12500,END,25,13,29,29,40,1,0,13.08,12
3rkb1r/5pp1/p1n1pn2/1b1p4/1PpP1P1p/2P1PN2/6PP/R1B1KBNR w KQk - 0 14,-20,-0.01000,END,26,14,29,29,40,1,0,13.57,11
3rkb1r/5pp1/p1n1pn2/1b1pN3/1PpP1P1p/2P1P3/6PP/R1B1KBNR b KQk - 1 14,122,0.06100,END,27,14,29,29,40,1,0,13.57,10
r1bnk2r/ppp1npbp/6p1/8/4P3/7P/PPP1pPP1/RNB1K1NR w KQkq - 0 14,-556,-0.27800,END,26,14,26,29,39,1,0,14.85,13
r1bnk2r/ppp1npbp/6p1/8/4P3/7P/PPP1NPP1/RNB1K2R b KQkq - 0 14,521,0.26050,END,27,14,26,28,37,1,0,13.85,13
r1b1k2r/ppp1npbp/2n3p1/8/4P3/7P/PPP1NPP1/RNB1K2R w KQkq - 1 15,-517,-0.25850,END,28,15,26,28,37,1,0,13.99,12
r1b1k2r/ppp1npbp/2n3p1/8/4P3/7P/PPP1NPP1/RNB2RK1 b kq - 2 15,514,0.25700,END,29,15,26,28,37,1,0,13.99,14
r1b2rk1/ppp1npbp/2n3p1/8/4P3/7P/PPP1NPP1/RNB2RK1 w - - 3 16,-461,-0.23050,END,30,16,26,28,37,1,0,14.96,14
r1b2rk1/ppp1npbp/2n3p1/8/4P3/7P/PPP1NPP1/RNB1R1K1 b - - 4 16,576,0.28800,END,31,16,26,28,37,1,0,14.96,14
r1b2rk1/ppp1n1bp/2n3p1/5p2/4P3/7P/PPP1NPP1/RNB1R1K1 w - - 0 17,-562,-0.28100,END,32,17,26,28,37,1,0,12.49,12
r1b2rk1/ppp1n1bp/2n3p1/5p2/4P3/7P/PPPBNPP1/RN2R1K1 b - - 1 17,508,0.25400,END,33,17,26,28,37,1,0,14.49,13
2kr4/p1p4p/Pp3p2/3q4/R2n1P2/1P4P1/3BQK1P/8 b - - 0 34,811,0.40550,MID,67,34,22,22,26,0,0,14.52,14
2kr4/p1p4p/Pp3p2/3q4/R4P2/1P4P1/3BnK1P/8 w - - 0 35,-797,-0.39850,MID,68,35,13,22,25,0,0,14.24,13
2kr4/p1p4p/Pp3p2/3q4/R4P2/1P4P1/3BK2P/8 b - - 0 35,836,0.41800,MID,69,35,13,19,24,0,0,14.49,14
2kr4/p1p4p/Pp3p2/8/R4P2/1P4P1/3qK2P/8 w - - 0 36,-965,-0.48250,MID,70,36,10,19,23,0,0,14.36,14
2kr4/p1p4p/Pp3p2/8/R4P2/1P3KP1/3q3P/8 b - - 1 36,2000,1.00000,MID,71,36,10,19,23,0,1,15.75,20
2kr4/p1p4p/Pp3p2/8/R4P2/1P3KP1/7q/8 w - - 0 37,-876,-0.43800,MID,72,37,9,19,21,0,0,13.64,14
2kr4/p1p4p/Pp3p2/8/R4PK1/1P4P1/7q/8 b - - 1 37,934,0.46700,MID,73,37,9,19,21,0,0,14.76,14
3rr1k1/pp3ppp/6n1/1N6/6b1/8/PPP1B1PP/R3K1NR w KQ - 0 15,309,0.15450,END,28,15,24,21,29,1,0,14.61,11
3rr1k1/ppN2ppp/6n1/8/6b1/8/PPP1B1PP/R3K1NR b KQ - 1 15,0,0.00000,END,29,15,24,21,29,1,0,14.96,9
3r2k1/ppN1rppp/6n1/8/6b1/8/PPP1B1PP/R3K1NR w KQ - 2 16,26,0.01300,END,30,16,24,21,29,1,0,13.96,10
3r2k1/ppN1rppp/6n1/8/6b1/7P/PPP1B1P1/R3K1NR b KQ - 0 16,234,0.11700,END,31,16,24,21,29,1,0,13.96,11
3r2k1/ppN1rppp/6n1/7b/8/7P/PPP1B1P1/R3K1NR w KQ - 1 17,359,0.17950,END,32,17,24,21,29,1,0,12.85,12
3r2k1/ppN1rppp/6n1/7b/6P1/7P/PPP1B3/R3K1NR b KQ - 0 17,-365,-0.18250,END,33,17,24,21,29,1,0,14.51,11
3r2k1/ppN1rppp/8/7b/5nP1/7P/PPP1B3/R3K1NR w KQ - 1 18,364,0.18200,END,34,18,24,21,29,1,0,13.51,11
3r2k1/ppN1rppp/8/7P/5n2/7P/PPP1B3/R3K1NR b KQ - 0 18,-323,-0.16150,END,35,18,24,18,28,1,0,13.41,10
1k1r4/p1p3Qp/8/4p3/3qn3/1P4P1/P1PP1R1P/R5K1 b - - 0 18,2000,1.00000,MID,35,18,25,21,26,0,1,16.51,21
