fen,eval_cp,eval_norm,phase_bucket,ply,move_number,material_white,material_black,piece_count_total,endgame_rule_flag,mate_flag,time_ms,depth
rnbqkb1r/pp1p2pp/2p2n2/3P1P2/2P1p3/8/PP3PPP/RNBQKBNR w KQkq - 0 6,200,0.10000,OPEN,10,6,39,38,44,0,0,14.96,11
rnbqk2r/pp3ppp/5n2/3pp3/1b6/1BNP4/PPP2PPP/R1BQK1NR w KQkq - 2 7,-82,-0.04100,OPEN,12,7,38,38,42,0,0,12.97,8
r1b1k1nr/ppp5/4p3/6Q1/7p/1PN1P3/P1P2PPP/R4RK1 b kq - 0 17,-641,-0.32050,MID,33,17,29,21,32,0,0,13.90,13
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 2 6,-48,-0.02400,OPEN,11,6,39,39,46,0,0,13.51,9
r7/pppkBN2/3p3p/5b2/1nP5/4P3/PP2KPPP/3R1B1R w - - 1 25,680,0.34000,END,48,25,26,16,32,1,0,13.19,15
8/pbq4k/1p5p/3p1rp1/1P2p1Q1/PB2P3/3P2P1/6K1 w - - 0 34,22,0.01100,MID,66,34,17,23,27,0,0,14.96,13
7r/1pq2k1p/p4p2/3p3Q/1B1P4/8/P1r3PP/R5K1 b - - 1 19,0,0.00000,MID,37,19,21,24,24,0,0,12.97,18
rn1qkbnr/ppp1pppp/8/8/4p1b1/3P4/PPP2PPP/RNB1KBNR w KQkq - 0 4,-681,-0.34050,OPEN,6,4,29,39,43,0,0,15.26,14
1r2R1k1/Q1p2ppp/5p2/8/3P4/P1PK4/2P2qPP/6R1 b - - 0 20,604,0.30200,MID,39,20,25,19,27,0,0,13.96,13
r4rk1/p1p2ppp/1pn5/8/4B3/4PP2/P4P1P/R4RK1 b - - 2 17,-180,-0.09000,END,33,17,18,19,28,1,0,14.82,12
r3k1nr/ppp1b1pp/5p2/8/4PN2/3P2P1/PP4BP/R1B2QK1 b kq - 0 20,-751,-0.37550,MID,39,20,29,22,33,0,0,11.97,15
1k1r4/ppp3pp/7q/4R3/6B1/6P1/PPP2PKP/8 b - - 0 22,567,0.28350,MID,43,22,14,19,26,0,0,14.48,14
r1bqkb1r/pp1p1ppp/2n1p3/2pnP3/7Q/5N2/PPPP1PPP/RNB1KB1R w KQkq - 1 6,-25,-0.01250,OPEN,10,6,39,39,46,0,0,14.29,10
rnbq1rk1/ppp1ppbp/6p1/2P3B1/3Pp3/4P3/PP1Q1PPP/R3KBNR b KQ - 0 8,40,0.02000,OPEN,15,8,36,36,44,0,0,13.96,9
6rk/1p2n1p1/pq1p1p1p/5P1P/4PP2/6Q1/PPP5/2KR2b1 w - - 0 24,-411,-0.20550,MID,46,24,21,26,32,0,0,15.00,13
6k1/p1r2ppp/4p3/3p4/3P4/2R4P/PP3PPK/8 b - - 1 27,47,0.02350,END,53,27,11,11,26,1,0,11.97,9
5r2/5k2/1rp3p1/p2n1p2/P7/3R1NP1/5P1P/2R3K1 b - - 2 28,-73,-0.03650,END,55,28,17,17,22,1,0,13.91,9
r1b2r2/p4pkp/1p6/2pP1B2/3p4/P4Q2/1P3PPP/R4RK1 b - - 0 22,-701,-0.35050,MID,43,22,28,19,31,0,0,12.97,15
4r3/2k5/p2bp3/1pNp4/1P1n2R1/P7/2P2p2/2KR1B2 w - - 0 32,447,0.22350,END,62,32,19,16,23,1,0,14.96,14
r2qkb1r/ppp2ppp/2npbn2/8/2BPPp2/5N2/PPP3PP/RNBQ1RK1 w kq - 4 7,200,0.10000,OPEN,12,7,38,39,44,0,0,12.68,10
3r2k1/3r1ppp/2pb4/p2p4/3P1P2/P2KB2P/1P4P1/R6R b - - 2 23,152,0.07600,END,45,23,19,19,30,1,0,13.87,12
2r1kb1r/1p3ppp/p2p4/2nNp3/4P3/P1B2B2/1P3PPP/R4RK1 b k - 3 16,-588,-0.29400,END,31,16,25,23,35,1,0,13.65,13
r2qkb1r/pppb1ppp/2np4/1B2p3/4n3/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq - 0 7,0,0.00000,OPEN,12,7,38,39,44,0,0,13.96,10
3rkn1R/pp2bp2/2p1p1p1/4P1P1/4N3/P2PB3/1P1K1P2/8 b - - 0 24,-249,-0.12450,END,47,24,17,17,30,1,0,15.05,10
r2qkb1r/pppn1pp1/4pnNp/3p4/3P1BPP/4P3/PPP2P2/RN1QKB1R b KQkq - 0 9,-201,-0.10050,OPEN,17,9,39,36,45,0,0,14.96,13
r1bqkb1r/ppp1n1pp/2np1p2/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 0 6,143,0.07150,OPEN,10,6,39,39,46,0,0,14.96,10
r5kr/ppp4p/2n2q2/8/4P3/5N2/P1P2PP1/R3K2R w KQ - 0 31,-566,-0.28300,MID,60,31,18,26,25,0,0,14.96,15
r1b2rk1/ppp2ppp/4p3/8/3P1N1q/2PB4/P4PPP/3RR1K1 b - - 0 17,626,0.31300,MID,33,17,22,29,34,0,0,12.96,15
r4rk1/ppp3pp/4n3/4q3/6p1/8/P1P2PBP/1RBR2K1 w - - 0 20,-530,-0.26500,MID,38,20,20,28,28,0,0,14.11,15
4rk2/4r1p1/5nnp/Q7/b7/P4BB1/1P3PPP/3R2K1 w - - 0 30,569,0.28450,MID,58,30,25,21,23,0,0,13.54,13
3r1rk1/pp3ppp/2np4/3B4/3PR3/3P4/PP3PPP/4R1K1 b - - 3 22,-73,-0.03650,END,43,22,20,19,32,1,0,14.97,11
